ts_utc,iters_per_sec
2026-02-23T18:21:22+00:00,1125.4612
2026-02-23T18:21:23+00:00,613.4391
2026-02-23T18:21:24+00:00,610.1333
2026-02-23T18:21:25+00:00,615.0335
2026-02-23T18:21:26+00:00,608.8117
2026-02-23T18:21:27+00:00,610.3615
2026-02-23T18:21:28+00:00,610.6205
2026-02-23T18:21:29+00:00,608.4524
2026-02-23T18:21:30+00:00,607.5685
2026-02-23T18:21:31+00:00,608.3108
2026-02-23T18:21:32+00:00,607.1633
2026-02-23T18:21:33+00:00,607.4625
2026-02-23T18:21:34+00:00,607.1188
2026-02-23T18:21:35+00:00,606.0642
2026-02-23T18:21:36+00:00,606.0329
2026-02-23T18:21:37+00:00,606.6621
2026-02-23T18:21:38+00:00,607.3950
2026-02-23T18:21:39+00:00,606.4789
2026-02-23T18:21:40+00:00,605.9084
2026-02-23T18:21:41+00:00,606.7250
2026-02-23T18:21:42+00:00,605.3745
2026-02-23T18:21:43+00:00,605.5100
2026-02-23T18:21:44+00:00,605.6344
2026-02-23T18:21:45+00:00,606.4783
2026-02-23T18:21:46+00:00,605.2996
2026-02-23T18:21:47+00:00,606.4816
2026-02-23T18:21:48+00:00,605.4182
2026-02-23T18:21:49+00:00,609.3650
2026-02-23T18:21:50+00:00,604.9283
2026-02-23T18:21:51+00:00,605.2374
2026-02-23T18:21:52+00:00,606.0474
2026-02-23T18:21:53+00:00,605.2864
2026-02-23T18:21:54+00:00,606.3749
2026-02-23T18:21:55+00:00,604.7670
2026-02-23T18:21:56+00:00,604.9361
2026-02-23T18:21:57+00:00,604.7019
2026-02-23T18:21:58+00:00,604.1273
2026-02-23T18:21:59+00:00,605.3696
2026-02-23T18:22:00+00:00,604.8208
2026-02-23T18:22:01+00:00,605.9377
2026-02-23T18:22:02+00:00,604.1080
2026-02-23T18:22:03+00:00,605.9876
2026-02-23T18:22:04+00:00,604.5104
2026-02-23T18:22:05+00:00,604.1241
2026-02-23T18:22:06+00:00,604.5862
2026-02-23T18:22:07+00:00,603.9276
2026-02-23T18:22:08+00:00,606.4959
2026-02-23T18:22:09+00:00,605.2392
2026-02-23T18:22:10+00:00,604.7114
2026-02-23T18:22:11+00:00,604.7570
2026-02-23T18:22:12+00:00,605.5615
2026-02-23T18:22:13+00:00,605.1467
2026-02-23T18:22:14+00:00,605.1743
2026-02-23T18:22:15+00:00,603.9221
2026-02-23T18:22:16+00:00,604.5068
2026-02-23T18:22:17+00:00,604.1213
2026-02-23T18:22:18+00:00,603.7835
2026-02-23T18:22:19+00:00,604.1517
2026-02-23T18:22:20+00:00,605.6149
2026-02-23T18:22:21+00:00,605.0875
2026-02-23T18:22:22+00:00,603.3038
2026-02-23T18:22:23+00:00,603.9984
2026-02-23T18:22:24+00:00,604.1500
2026-02-23T18:22:25+00:00,603.9457
2026-02-23T18:22:26+00:00,603.7705
2026-02-23T18:22:27+00:00,605.2614
2026-02-23T18:22:28+00:00,603.8242
2026-02-23T18:22:29+00:00,603.9176
2026-02-23T18:22:30+00:00,603.7003
2026-02-23T18:22:31+00:00,604.3481
2026-02-23T18:22:32+00:00,603.2594
2026-02-23T18:22:33+00:00,603.5808
2026-02-23T18:22:34+00:00,603.9865
2026-02-23T18:22:35+00:00,606.9498
2026-02-23T18:22:36+00:00,603.4467
2026-02-23T18:22:37+00:00,604.2635
2026-02-23T18:22:38+00:00,603.7546
2026-02-23T18:22:39+00:00,603.7782
2026-02-23T18:22:40+00:00,604.0193
2026-02-23T18:22:41+00:00,603.5168
2026-02-23T18:22:42+00:00,604.8261
2026-02-23T18:22:43+00:00,603.4869
2026-02-23T18:22:44+00:00,604.6150
2026-02-23T18:22:45+00:00,603.4940
2026-02-23T18:22:46+00:00,603.4833
2026-02-23T18:22:47+00:00,603.0323
2026-02-23T18:22:48+00:00,603.8920
2026-02-23T18:22:49+00:00,605.3873
2026-02-23T18:22:50+00:00,603.4822
2026-02-23T18:22:51+00:00,603.0933
2026-02-23T18:22:52+00:00,603.8783
2026-02-23T18:22:53+00:00,604.0059
2026-02-23T18:22:54+00:00,603.6409
2026-02-23T18:22:55+00:00,603.2633
2026-02-23T18:22:56+00:00,603.4271
2026-02-23T18:22:57+00:00,604.0442
2026-02-23T18:22:58+00:00,603.4631
2026-02-23T18:22:59+00:00,603.2555
2026-02-23T18:23:00+00:00,602.7431
2026-02-23T18:23:01+00:00,603.8321
2026-02-23T18:23:02+00:00,603.2609
2026-02-23T18:23:03+00:00,603.5451
2026-02-23T18:23:04+00:00,603.2050
2026-02-23T18:23:05+00:00,603.5323
2026-02-23T18:23:06+00:00,603.0643
2026-02-23T18:23:07+00:00,603.8746
2026-02-23T18:23:08+00:00,603.7297
2026-02-23T18:23:09+00:00,604.9902
2026-02-23T18:23:10+00:00,605.0327
2026-02-23T18:23:11+00:00,604.7364
2026-02-23T18:23:12+00:00,605.3040
2026-02-23T18:23:13+00:00,604.9968
2026-02-23T18:23:14+00:00,605.0417
2026-02-23T18:23:15+00:00,605.5182
2026-02-23T18:23:16+00:00,605.1490
2026-02-23T18:23:17+00:00,605.6464
2026-02-23T18:23:18+00:00,604.4851
2026-02-23T18:23:19+00:00,605.9660
2026-02-23T18:23:20+00:00,604.8430
2026-02-23T18:23:21+00:00,604.9905
2026-02-23T18:23:22+00:00,605.8156
2026-02-23T18:23:23+00:00,604.9155
2026-02-23T18:23:24+00:00,604.8006
2026-02-23T18:23:25+00:00,604.7091
2026-02-23T18:23:26+00:00,604.4881
2026-02-23T18:23:27+00:00,604.6814
2026-02-23T18:23:28+00:00,604.8915
2026-02-23T18:23:29+00:00,605.0554
2026-02-23T18:23:30+00:00,605.5071
2026-02-23T18:23:31+00:00,604.8196
2026-02-23T18:23:32+00:00,605.5037
2026-02-23T18:23:33+00:00,604.8985
2026-02-23T18:23:34+00:00,604.6769
2026-02-23T18:23:35+00:00,604.8281
2026-02-23T18:23:36+00:00,604.8842
2026-02-23T18:23:37+00:00,604.9987
2026-02-23T18:23:38+00:00,604.8936
2026-02-23T18:23:39+00:00,604.6820
2026-02-23T18:23:40+00:00,604.5195
2026-02-23T18:23:41+00:00,605.6627
2026-02-23T18:23:42+00:00,605.3348
2026-02-23T18:23:43+00:00,604.6887
2026-02-23T18:23:44+00:00,604.4496
2026-02-23T18:23:45+00:00,605.7107
2026-02-23T18:23:46+00:00,605.2153
2026-02-23T18:23:47+00:00,604.9164
2026-02-23T18:23:48+00:00,604.4134
2026-02-23T18:23:49+00:00,604.5974
2026-02-23T18:23:50+00:00,604.8779
2026-02-23T18:23:51+00:00,604.5422
2026-02-23T18:23:52+00:00,604.9570
2026-02-23T18:23:53+00:00,604.8833
2026-02-23T18:23:54+00:00,606.9117
2026-02-23T18:23:55+00:00,604.6529
2026-02-23T18:23:56+00:00,604.9139
2026-02-23T18:23:57+00:00,605.4343
2026-02-23T18:23:58+00:00,604.6153
2026-02-23T18:23:59+00:00,604.5866
2026-02-23T18:24:00+00:00,604.7216
2026-02-23T18:24:01+00:00,604.9481
2026-02-23T18:24:02+00:00,604.5808
2026-02-23T18:24:03+00:00,604.8895
2026-02-23T18:24:04+00:00,606.0919
2026-02-23T18:24:05+00:00,605.5092
2026-02-23T18:24:06+00:00,605.3416
2026-02-23T18:24:07+00:00,604.9905
2026-02-23T18:24:08+00:00,605.4874
2026-02-23T18:24:09+00:00,604.9073
2026-02-23T18:24:10+00:00,604.4989
2026-02-23T18:24:11+00:00,604.3772
2026-02-23T18:24:12+00:00,605.1988
2026-02-23T18:24:13+00:00,604.8529
2026-02-23T18:24:14+00:00,604.6083
2026-02-23T18:24:15+00:00,604.6779
2026-02-23T18:24:16+00:00,604.4437
2026-02-23T18:24:17+00:00,604.6723
2026-02-23T18:24:18+00:00,604.4803
2026-02-23T18:24:19+00:00,605.3228
2026-02-23T18:24:20+00:00,604.6591
2026-02-23T18:24:21+00:00,604.6926
2026-02-23T18:24:22+00:00,605.6260
2026-02-23T18:24:23+00:00,604.9670
2026-02-23T18:24:24+00:00,604.8003
2026-02-23T18:24:25+00:00,604.8554
2026-02-23T18:24:26+00:00,604.5052
2026-02-23T18:24:27+00:00,604.8627
2026-02-23T18:24:28+00:00,604.4214
2026-02-23T18:24:29+00:00,604.4874
2026-02-23T18:24:30+00:00,604.8474
2026-02-23T18:24:31+00:00,605.0416
2026-02-23T18:24:32+00:00,604.4034
2026-02-23T18:24:33+00:00,604.6454
2026-02-23T18:24:34+00:00,605.3266
2026-02-23T18:24:35+00:00,604.2818
2026-02-23T18:24:36+00:00,604.2296
2026-02-23T18:24:37+00:00,605.3115
2026-02-23T18:24:38+00:00,604.4521
2026-02-23T18:24:39+00:00,604.4491
2026-02-23T18:24:40+00:00,605.5302
2026-02-23T18:24:41+00:00,604.2573
2026-02-23T18:24:42+00:00,605.6677
2026-02-23T18:24:43+00:00,605.6820
2026-02-23T18:24:44+00:00,604.3040
2026-02-23T18:24:45+00:00,604.5867
2026-02-23T18:24:46+00:00,605.8131
2026-02-23T18:24:47+00:00,604.4105
2026-02-23T18:24:48+00:00,604.7882
2026-02-23T18:24:49+00:00,605.4202
2026-02-23T18:24:50+00:00,604.4774
2026-02-23T18:24:51+00:00,604.6171
2026-02-23T18:24:52+00:00,604.0276
2026-02-23T18:24:53+00:00,605.5439
2026-02-23T18:24:54+00:00,604.3789
2026-02-23T18:24:55+00:00,604.7761
2026-02-23T18:24:56+00:00,604.5467
2026-02-23T18:24:57+00:00,604.5480
2026-02-23T18:24:58+00:00,606.9818
2026-02-23T18:24:59+00:00,604.9964
2026-02-23T18:25:00+00:00,605.3949
2026-02-23T18:25:01+00:00,605.2521
2026-02-23T18:25:02+00:00,604.5932
2026-02-23T18:25:03+00:00,604.7174
2026-02-23T18:25:04+00:00,604.3706
2026-02-23T18:25:05+00:00,604.7474
2026-02-23T18:25:06+00:00,604.6144
2026-02-23T18:25:07+00:00,604.7337
2026-02-23T18:25:08+00:00,604.5597
2026-02-23T18:25:09+00:00,605.3096
2026-02-23T18:25:10+00:00,606.5806
2026-02-23T18:25:11+00:00,604.9759
2026-02-23T18:25:12+00:00,605.2015
2026-02-23T18:25:13+00:00,605.1537
2026-02-23T18:25:14+00:00,604.7078
2026-02-23T18:25:15+00:00,604.8751
2026-02-23T18:25:16+00:00,604.8046
2026-02-23T18:25:17+00:00,605.5145
2026-02-23T18:25:18+00:00,605.5630
2026-02-23T18:25:19+00:00,604.6789
2026-02-23T18:25:20+00:00,604.0197
2026-02-23T18:25:21+00:00,604.7158
2026-02-23T18:25:22+00:00,605.5269
2026-02-23T18:25:23+00:00,604.5249
2026-02-23T18:25:24+00:00,604.7380
2026-02-23T18:25:25+00:00,605.3252
2026-02-23T18:25:26+00:00,605.5077
2026-02-23T18:25:27+00:00,604.8571
2026-02-23T18:25:28+00:00,604.4000
2026-02-23T18:25:29+00:00,604.4069
2026-02-23T18:25:30+00:00,605.4024
2026-02-23T18:25:31+00:00,605.7073
2026-02-23T18:25:32+00:00,605.3556
2026-02-23T18:25:33+00:00,604.7076
2026-02-23T18:25:34+00:00,604.7944
2026-02-23T18:25:35+00:00,604.8954
2026-02-23T18:25:36+00:00,605.8205
2026-02-23T18:25:37+00:00,604.5641
2026-02-23T18:25:38+00:00,604.7670
2026-02-23T18:25:39+00:00,605.5445
2026-02-23T18:25:40+00:00,604.6213
2026-02-23T18:25:41+00:00,604.7524
2026-02-23T18:25:42+00:00,604.5062
2026-02-23T18:25:43+00:00,604.3615
2026-02-23T18:25:44+00:00,605.0504
2026-02-23T18:25:45+00:00,604.0630
2026-02-23T18:25:46+00:00,604.8728
2026-02-23T18:25:47+00:00,606.4634
2026-02-23T18:25:48+00:00,605.1720
2026-02-23T18:25:49+00:00,604.5124
2026-02-23T18:25:50+00:00,604.6083
2026-02-23T18:25:51+00:00,605.3139
2026-02-23T18:25:52+00:00,604.6281
2026-02-23T18:25:53+00:00,604.2765
2026-02-23T18:25:54+00:00,604.3152
2026-02-23T18:25:55+00:00,605.0122
2026-02-23T18:25:56+00:00,604.6948
2026-02-23T18:25:57+00:00,604.6932
2026-02-23T18:25:58+00:00,605.6201
2026-02-23T18:25:59+00:00,604.9575
2026-02-23T18:26:00+00:00,604.5323
2026-02-23T18:26:01+00:00,604.4147
2026-02-23T18:26:02+00:00,604.9681
2026-02-23T18:26:03+00:00,604.5552
2026-02-23T18:26:04+00:00,604.7622
2026-02-23T18:26:05+00:00,604.9162
2026-02-23T18:26:06+00:00,604.7173
2026-02-23T18:26:07+00:00,604.1492
2026-02-23T18:26:08+00:00,604.6644
2026-02-23T18:26:09+00:00,604.4161
2026-02-23T18:26:10+00:00,604.4709
2026-02-23T18:26:11+00:00,605.6244
2026-02-23T18:26:12+00:00,604.6210
