ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate,ts,iters_per_sec,perf_per_watt
2026-02-23T18:18:16+00:00,0,,,29,75.904,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:16+00:00,,
2026-02-23T18:18:17+00:00,0,,,30,75.943,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:17+00:00,,
2026-02-23T18:18:18+00:00,0,,,29,75.941,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:18+00:00,,
2026-02-23T18:18:19+00:00,0,,,29,75.939,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:19+00:00,,
2026-02-23T18:18:20+00:00,0,,,29,76.008,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:20+00:00,,
2026-02-23T18:18:21+00:00,0,,,30,75.969,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:21+00:00,,
2026-02-23T18:18:22+00:00,0,,,30,75.954,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:22+00:00,,
2026-02-23T18:18:23+00:00,0,,,29,76.006,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:23+00:00,,
2026-02-23T18:18:24+00:00,0,,,29,76.03,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:24+00:00,,
2026-02-23T18:18:25+00:00,0,,,30,76.003,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:25+00:00,,
2026-02-23T18:18:26+00:00,0,,,30,75.914,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:26+00:00,,
2026-02-23T18:18:27+00:00,0,,,30,75.853,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:27+00:00,,
2026-02-23T18:18:28+00:00,0,,,30,75.903,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:28+00:00,,
2026-02-23T18:18:29+00:00,0,,,30,76.034,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:29+00:00,,
2026-02-23T18:18:30+00:00,0,,,30,75.966,700.0,0,0,345,3201,604.6875,143771.0,0,2026-02-23 18:18:30+00:00,,
