ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w,ts,iters_per_sec,perf_per_watt
2026-02-24T14:42:45Z,81.027,39.0,345.0,,2026-02-24 14:42:45+00:00,,
2026-02-24T14:42:46Z,81.027,39.0,345.0,,2026-02-24 14:42:46+00:00,,
2026-02-24T14:42:47Z,81.027,39.0,345.0,,2026-02-24 14:42:47+00:00,,
2026-02-24T14:42:48Z,81.027,39.0,345.0,,2026-02-24 14:42:48+00:00,,
2026-02-24T14:42:49Z,81.027,39.0,345.0,,2026-02-24 14:42:49+00:00,,
2026-02-24T14:42:50Z,81.027,39.0,345.0,,2026-02-24 14:42:50+00:00,,
2026-02-24T14:42:51Z,81.027,39.0,345.0,,2026-02-24 14:42:51+00:00,,
2026-02-24T14:42:52Z,81.027,39.0,345.0,,2026-02-24 14:42:52+00:00,,
2026-02-24T14:42:53Z,81.027,39.0,345.0,,2026-02-24 14:42:53+00:00,,
2026-02-24T14:42:54Z,81.027,39.0,345.0,,2026-02-24 14:42:54+00:00,,
2026-02-24T14:42:55Z,81.027,39.0,345.0,,2026-02-24 14:42:55+00:00,,
2026-02-24T14:42:56Z,81.027,39.0,345.0,,2026-02-24 14:42:56+00:00,,
2026-02-24T14:42:57Z,81.027,39.0,345.0,,2026-02-24 14:42:57+00:00,,
2026-02-24T14:42:58Z,81.027,39.0,345.0,,2026-02-24 14:42:58+00:00,,
2026-02-24T14:42:59Z,81.027,39.0,345.0,,2026-02-24 14:42:59+00:00,,
2026-02-24T14:43:00Z,81.027,39.0,345.0,,2026-02-24 14:43:00+00:00,,
2026-02-24T14:43:01Z,81.027,39.0,345.0,,2026-02-24 14:43:01+00:00,,
2026-02-24T14:43:02Z,81.027,39.0,345.0,,2026-02-24 14:43:02+00:00,,
2026-02-24T14:43:03Z,81.027,39.0,345.0,,2026-02-24 14:43:03+00:00,,
2026-02-24T14:43:04Z,81.027,39.0,345.0,,2026-02-24 14:43:04+00:00,,
2026-02-24T14:43:05Z,81.027,39.0,345.0,,2026-02-24 14:43:05+00:00,,
2026-02-24T14:43:06Z,81.027,39.0,345.0,,2026-02-24 14:43:06+00:00,,
2026-02-24T14:43:07Z,81.027,39.0,345.0,,2026-02-24 14:43:07+00:00,,
2026-02-24T14:43:08Z,81.027,39.0,345.0,,2026-02-24 14:43:08+00:00,,
2026-02-24T14:43:09Z,81.027,39.0,345.0,,2026-02-24 14:43:09+00:00,,
2026-02-24T14:43:10Z,81.027,39.0,345.0,,2026-02-24 14:43:10+00:00,,
2026-02-24T14:43:11Z,81.027,39.0,345.0,,2026-02-24 14:43:11+00:00,,
2026-02-24T14:43:12Z,81.027,39.0,345.0,,2026-02-24 14:43:12+00:00,,
2026-02-24T14:43:13Z,81.027,39.0,345.0,,2026-02-24 14:43:13+00:00,,
2026-02-24T14:43:14Z,81.027,39.0,345.0,,2026-02-24 14:43:14+00:00,,
2026-02-24T14:43:15Z,81.018,39.0,345.0,,2026-02-24 14:43:15+00:00,,
2026-02-24T14:43:16Z,81.018,39.0,345.0,,2026-02-24 14:43:16+00:00,,
2026-02-24T14:43:17Z,81.018,39.0,345.0,,2026-02-24 14:43:17+00:00,,
2026-02-24T14:43:18Z,81.018,39.0,345.0,,2026-02-24 14:43:18+00:00,,
2026-02-24T14:43:19Z,81.018,39.0,345.0,,2026-02-24 14:43:19+00:00,,
2026-02-24T14:43:20Z,81.018,39.0,345.0,,2026-02-24 14:43:20+00:00,,
2026-02-24T14:43:21Z,81.018,39.0,345.0,,2026-02-24 14:43:21+00:00,,
2026-02-24T14:43:22Z,81.018,39.0,345.0,,2026-02-24 14:43:22+00:00,,
2026-02-24T14:43:23Z,81.018,39.0,345.0,,2026-02-24 14:43:23+00:00,,
2026-02-24T14:43:24Z,81.018,39.0,345.0,,2026-02-24 14:43:24+00:00,,
2026-02-24T14:43:25Z,81.018,39.0,345.0,,2026-02-24 14:43:25+00:00,,
2026-02-24T14:43:26Z,81.018,39.0,345.0,,2026-02-24 14:43:26+00:00,,
2026-02-24T14:43:27Z,81.018,39.0,345.0,,2026-02-24 14:43:27+00:00,,
2026-02-24T14:43:28Z,81.018,39.0,345.0,,2026-02-24 14:43:28+00:00,,
2026-02-24T14:43:29Z,81.018,39.0,345.0,,2026-02-24 14:43:29+00:00,,
2026-02-24T14:43:30Z,81.018,39.0,345.0,,2026-02-24 14:43:30+00:00,,
2026-02-24T14:43:31Z,81.018,39.0,345.0,,2026-02-24 14:43:31+00:00,,
2026-02-24T14:43:32Z,81.018,39.0,345.0,,2026-02-24 14:43:32+00:00,,
2026-02-24T14:43:33Z,81.018,39.0,345.0,,2026-02-24 14:43:33+00:00,,
2026-02-24T14:43:34Z,81.018,39.0,345.0,,2026-02-24 14:43:34+00:00,,
2026-02-24T14:43:35Z,81.018,39.0,345.0,,2026-02-24 14:43:35+00:00,,
2026-02-24T14:43:36Z,81.018,39.0,345.0,,2026-02-24 14:43:36+00:00,,
2026-02-24T14:43:37Z,81.018,39.0,345.0,,2026-02-24 14:43:37+00:00,,
2026-02-24T14:43:38Z,81.018,39.0,345.0,,2026-02-24 14:43:38+00:00,,
2026-02-24T14:43:39Z,81.018,39.0,345.0,,2026-02-24 14:43:39+00:00,,
2026-02-24T14:43:40Z,81.018,39.0,345.0,,2026-02-24 14:43:40+00:00,,
2026-02-24T14:43:41Z,81.018,39.0,345.0,,2026-02-24 14:43:41+00:00,,
2026-02-24T14:43:42Z,81.018,39.0,345.0,,2026-02-24 14:43:42+00:00,,
2026-02-24T14:43:43Z,81.018,39.0,345.0,,2026-02-24 14:43:43+00:00,,
2026-02-24T14:43:44Z,81.018,39.0,345.0,,2026-02-24 14:43:44+00:00,,
2026-02-24T14:43:45Z,81.027,39.0,345.0,,2026-02-24 14:43:45+00:00,,
2026-02-24T14:43:46Z,81.027,39.0,345.0,,2026-02-24 14:43:46+00:00,,
2026-02-24T14:43:47Z,81.027,39.0,345.0,,2026-02-24 14:43:47+00:00,,
2026-02-24T14:43:48Z,81.027,39.0,345.0,,2026-02-24 14:43:48+00:00,,
2026-02-24T14:43:49Z,81.027,39.0,345.0,,2026-02-24 14:43:49+00:00,,
2026-02-24T14:43:50Z,81.027,39.0,345.0,,2026-02-24 14:43:50+00:00,,
2026-02-24T14:43:51Z,81.027,39.0,345.0,,2026-02-24 14:43:51+00:00,,
2026-02-24T14:43:52Z,81.027,39.0,345.0,,2026-02-24 14:43:52+00:00,,
2026-02-24T14:43:53Z,81.027,39.0,345.0,,2026-02-24 14:43:53+00:00,,
2026-02-24T14:43:54Z,81.027,39.0,345.0,,2026-02-24 14:43:54+00:00,,
2026-02-24T14:43:55Z,81.027,39.0,345.0,,2026-02-24 14:43:55+00:00,,
2026-02-24T14:43:56Z,81.027,39.0,345.0,,2026-02-24 14:43:56+00:00,,
2026-02-24T14:43:57Z,81.027,39.0,345.0,,2026-02-24 14:43:57+00:00,,
2026-02-24T14:43:58Z,81.027,39.0,345.0,,2026-02-24 14:43:58+00:00,,
2026-02-24T14:43:59Z,81.027,39.0,345.0,,2026-02-24 14:43:59+00:00,,
2026-02-24T14:44:00Z,81.027,39.0,345.0,,2026-02-24 14:44:00+00:00,,
2026-02-24T14:44:01Z,81.027,39.0,345.0,,2026-02-24 14:44:01+00:00,,
2026-02-24T14:44:02Z,81.027,39.0,345.0,,2026-02-24 14:44:02+00:00,,
2026-02-24T14:44:03Z,81.027,39.0,345.0,,2026-02-24 14:44:03+00:00,,
