ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w,ts,iters_per_sec,perf_per_watt
2026-02-24T15:23:23Z,80.774,39.0,345.0,700.0,2026-02-24 15:23:23+00:00,,
2026-02-24T15:23:24Z,80.787,39.0,345.0,700.0,2026-02-24 15:23:24+00:00,,
2026-02-24T15:23:25Z,80.729,39.0,345.0,700.0,2026-02-24 15:23:25+00:00,,
2026-02-24T15:23:26Z,80.783,39.0,345.0,700.0,2026-02-24 15:23:26+00:00,,
2026-02-24T15:23:27Z,80.732,39.0,345.0,700.0,2026-02-24 15:23:27+00:00,,
2026-02-24T15:23:28Z,80.746,39.0,345.0,700.0,2026-02-24 15:23:28+00:00,,
2026-02-24T15:23:29Z,80.705,39.0,345.0,700.0,2026-02-24 15:23:29+00:00,,
2026-02-24T15:23:30Z,80.808,39.0,345.0,700.0,2026-02-24 15:23:30+00:00,,
2026-02-24T15:23:31Z,80.788,39.0,345.0,700.0,2026-02-24 15:23:31+00:00,,
2026-02-24T15:23:32Z,80.719,39.0,345.0,700.0,2026-02-24 15:23:32+00:00,,
2026-02-24T15:23:33Z,80.759,39.0,345.0,700.0,2026-02-24 15:23:33+00:00,,
2026-02-24T15:23:34Z,80.743,39.0,345.0,700.0,2026-02-24 15:23:34+00:00,,
2026-02-24T15:23:35Z,80.802,39.0,345.0,700.0,2026-02-24 15:23:35+00:00,,
2026-02-24T15:23:36Z,80.745,39.0,345.0,700.0,2026-02-24 15:23:36+00:00,,
2026-02-24T15:23:37Z,80.755,39.0,345.0,700.0,2026-02-24 15:23:37+00:00,,
2026-02-24T15:23:38Z,80.811,39.0,345.0,700.0,2026-02-24 15:23:38+00:00,,
2026-02-24T15:23:39Z,80.814,39.0,345.0,700.0,2026-02-24 15:23:39+00:00,,
2026-02-24T15:23:40Z,80.77,39.0,345.0,700.0,2026-02-24 15:23:40+00:00,,
2026-02-24T15:23:41Z,80.732,39.0,345.0,700.0,2026-02-24 15:23:41+00:00,,
2026-02-24T15:23:42Z,80.755,39.0,345.0,700.0,2026-02-24 15:23:42+00:00,,
2026-02-24T15:23:43Z,80.772,39.0,345.0,700.0,2026-02-24 15:23:43+00:00,,
2026-02-24T15:23:44Z,80.736,39.0,345.0,700.0,2026-02-24 15:23:44+00:00,,
2026-02-24T15:23:45Z,80.79,39.0,345.0,700.0,2026-02-24 15:23:45+00:00,,
2026-02-24T15:23:46Z,80.793,39.0,345.0,700.0,2026-02-24 15:23:46+00:00,,
2026-02-24T15:23:47Z,80.742,39.0,345.0,700.0,2026-02-24 15:23:47+00:00,,
2026-02-24T15:23:48Z,80.761,39.0,345.0,700.0,2026-02-24 15:23:48+00:00,,
2026-02-24T15:23:49Z,80.805,39.0,345.0,700.0,2026-02-24 15:23:49+00:00,,
2026-02-24T15:23:50Z,80.762,39.0,345.0,700.0,2026-02-24 15:23:50+00:00,,
2026-02-24T15:23:51Z,80.778,39.0,345.0,700.0,2026-02-24 15:23:51+00:00,,
2026-02-24T15:23:52Z,80.782,39.0,345.0,700.0,2026-02-24 15:23:52+00:00,,
2026-02-24T15:23:53Z,80.778,39.0,345.0,700.0,2026-02-24 15:23:53+00:00,,
2026-02-24T15:23:54Z,80.732,39.0,345.0,700.0,2026-02-24 15:23:54+00:00,,
2026-02-24T15:23:55Z,80.771,39.0,345.0,700.0,2026-02-24 15:23:55+00:00,,
2026-02-24T15:23:56Z,80.755,39.0,345.0,700.0,2026-02-24 15:23:56+00:00,,
2026-02-24T15:23:57Z,80.735,39.0,345.0,700.0,2026-02-24 15:23:57+00:00,,
2026-02-24T15:23:58Z,80.746,39.0,345.0,700.0,2026-02-24 15:23:58+00:00,,
2026-02-24T15:23:59Z,80.731,39.0,345.0,700.0,2026-02-24 15:23:59+00:00,,
2026-02-24T15:24:00Z,80.721,39.0,345.0,700.0,2026-02-24 15:24:00+00:00,,
2026-02-24T15:24:01Z,80.779,39.0,345.0,700.0,2026-02-24 15:24:01+00:00,,
2026-02-24T15:24:02Z,80.738,39.0,345.0,700.0,2026-02-24 15:24:02+00:00,,
2026-02-24T15:24:03Z,80.755,39.0,345.0,700.0,2026-02-24 15:24:03+00:00,,
2026-02-24T15:24:04Z,80.756,39.0,345.0,700.0,2026-02-24 15:24:04+00:00,,
2026-02-24T15:24:05Z,80.724,39.0,345.0,700.0,2026-02-24 15:24:05+00:00,,
2026-02-24T15:24:06Z,80.723,39.0,345.0,700.0,2026-02-24 15:24:06+00:00,,
2026-02-24T15:24:07Z,80.722,39.0,345.0,700.0,2026-02-24 15:24:07+00:00,,
