ts_utc,iters_per_sec
2026-02-24T16:28:38+00:00,1129.9905
2026-02-24T16:28:39+00:00,613.9101
2026-02-24T16:28:40+00:00,610.8351
2026-02-24T16:28:41+00:00,610.9754
2026-02-24T16:28:42+00:00,610.5373
2026-02-24T16:28:43+00:00,610.1423
2026-02-24T16:28:44+00:00,614.7168
2026-02-24T16:28:45+00:00,618.3709
2026-02-24T16:28:46+00:00,619.1723
2026-02-24T16:28:47+00:00,618.3042
2026-02-24T16:28:48+00:00,616.4409
2026-02-24T16:28:49+00:00,615.3847
2026-02-24T16:28:50+00:00,618.0918
2026-02-24T16:28:51+00:00,614.7094
2026-02-24T16:28:52+00:00,617.7820
2026-02-24T16:28:53+00:00,615.6108
2026-02-24T16:28:54+00:00,614.6703
2026-02-24T16:28:55+00:00,612.4445
2026-02-24T16:28:56+00:00,613.8222
2026-02-24T16:28:57+00:00,614.4547
2026-02-24T16:28:58+00:00,612.1086
2026-02-24T16:28:59+00:00,611.4006
2026-02-24T16:29:00+00:00,615.7255
2026-02-24T16:29:01+00:00,611.4766
2026-02-24T16:29:02+00:00,613.5671
2026-02-24T16:29:03+00:00,613.8174
2026-02-24T16:29:04+00:00,613.3104
2026-02-24T16:29:05+00:00,612.7134
2026-02-24T16:29:06+00:00,614.7059
2026-02-24T16:29:07+00:00,611.4905
2026-02-24T16:29:08+00:00,613.1328
2026-02-24T16:29:09+00:00,614.0114
2026-02-24T16:29:10+00:00,609.9597
2026-02-24T16:29:11+00:00,613.4343
2026-02-24T16:29:12+00:00,613.1269
2026-02-24T16:29:13+00:00,610.6939
2026-02-24T16:29:14+00:00,611.7271
2026-02-24T16:29:15+00:00,611.2127
2026-02-24T16:29:16+00:00,611.5094
2026-02-24T16:29:17+00:00,612.5406
2026-02-24T16:29:18+00:00,608.4014
2026-02-24T16:29:19+00:00,610.8041
2026-02-24T16:29:20+00:00,610.2777
2026-02-24T16:29:21+00:00,609.9263
2026-02-24T16:29:22+00:00,611.4523
2026-02-24T16:29:23+00:00,608.8483
2026-02-24T16:29:24+00:00,611.6891
2026-02-24T16:29:25+00:00,610.9371
2026-02-24T16:29:26+00:00,611.6787
2026-02-24T16:29:27+00:00,609.4927
2026-02-24T16:29:28+00:00,610.2721
2026-02-24T16:29:29+00:00,611.6907
2026-02-24T16:29:30+00:00,612.8041
2026-02-24T16:29:31+00:00,609.8201
2026-02-24T16:29:32+00:00,610.2786
2026-02-24T16:29:33+00:00,609.1176
2026-02-24T16:29:34+00:00,608.8257
2026-02-24T16:29:35+00:00,611.0763
2026-02-24T16:29:36+00:00,610.0639
