ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w,ts,iters_per_sec,perf_per_watt
2026-02-24T16:28:20Z,80.637,39.0,345.0,700.0,2026-02-24 16:28:20+00:00,,
2026-02-24T16:28:21Z,80.6,39.0,345.0,700.0,2026-02-24 16:28:21+00:00,,
2026-02-24T16:28:22Z,80.613,39.0,345.0,700.0,2026-02-24 16:28:22+00:00,,
2026-02-24T16:28:23Z,80.728,39.0,345.0,700.0,2026-02-24 16:28:23+00:00,,
2026-02-24T16:28:24Z,80.642,39.0,345.0,700.0,2026-02-24 16:28:24+00:00,,
2026-02-24T16:28:25Z,80.64,39.0,345.0,700.0,2026-02-24 16:28:25+00:00,,
2026-02-24T16:28:26Z,80.67,39.0,345.0,700.0,2026-02-24 16:28:26+00:00,,
2026-02-24T16:28:27Z,80.623,39.0,345.0,700.0,2026-02-24 16:28:27+00:00,,
2026-02-24T16:28:28Z,80.619,39.0,345.0,700.0,2026-02-24 16:28:28+00:00,,
2026-02-24T16:28:29Z,80.526,39.0,345.0,700.0,2026-02-24 16:28:29+00:00,,
2026-02-24T16:28:30Z,80.595,39.0,345.0,700.0,2026-02-24 16:28:30+00:00,,
2026-02-24T16:28:31Z,80.661,39.0,345.0,700.0,2026-02-24 16:28:31+00:00,,
2026-02-24T16:28:32Z,80.702,39.0,345.0,700.0,2026-02-24 16:28:32+00:00,,
2026-02-24T16:28:33Z,80.441,39.0,345.0,700.0,2026-02-24 16:28:33+00:00,,
2026-02-24T16:28:34Z,80.592,39.0,345.0,700.0,2026-02-24 16:28:34+00:00,,
2026-02-24T16:28:35Z,80.568,39.0,345.0,700.0,2026-02-24 16:28:35+00:00,,
2026-02-24T16:28:36Z,80.654,39.0,345.0,700.0,2026-02-24 16:28:36+00:00,,
2026-02-24T16:28:37Z,80.575,39.0,345.0,700.0,2026-02-24 16:28:37+00:00,1129.9905,14.02408315234254
2026-02-24T16:28:38Z,315.614,54.0,1515.0,700.0,2026-02-24 16:28:38+00:00,1129.9905,3.580292699309917
2026-02-24T16:28:39Z,692.048,58.0,1530.0,700.0,2026-02-24 16:28:39+00:00,613.9101,0.8870917913208333
2026-02-24T16:28:40Z,691.052,59.0,1515.0,700.0,2026-02-24 16:28:40+00:00,610.8351,0.8839206022122792
2026-02-24T16:28:41Z,691.061,60.0,1470.0,700.0,2026-02-24 16:28:41+00:00,610.9754,0.8841121116659745
2026-02-24T16:28:42Z,693.089,62.0,1470.0,700.0,2026-02-24 16:28:42+00:00,610.5373,0.8808930743382162
2026-02-24T16:28:43Z,691.358,62.0,1470.0,700.0,2026-02-24 16:28:43+00:00,610.1423,0.8825272868759746
2026-02-24T16:28:44Z,692.917,63.0,1455.0,700.0,2026-02-24 16:28:44+00:00,614.7168,0.8871434818311573
2026-02-24T16:28:45Z,690.917,64.0,1470.0,700.0,2026-02-24 16:28:45+00:00,618.3709,0.8950002677600927
2026-02-24T16:28:46Z,694.845,64.0,1470.0,700.0,2026-02-24 16:28:46+00:00,619.1723,0.8910941289064467
2026-02-24T16:28:47Z,689.77,64.0,1470.0,700.0,2026-02-24 16:28:47+00:00,618.3042,0.8963918407585137
2026-02-24T16:28:48Z,691.797,65.0,1455.0,700.0,2026-02-24 16:28:48+00:00,616.4409,0.891071947406537
2026-02-24T16:28:49Z,691.711,65.0,1455.0,700.0,2026-02-24 16:28:49+00:00,615.3847,0.8896557955562365
2026-02-24T16:28:50Z,691.653,66.0,1500.0,700.0,2026-02-24 16:28:50+00:00,618.0918,0.8936443563463182
2026-02-24T16:28:51Z,692.127,66.0,1470.0,700.0,2026-02-24 16:28:51+00:00,614.7094,0.8881453837229295
2026-02-24T16:28:52Z,690.774,67.0,1515.0,700.0,2026-02-24 16:28:52+00:00,617.782,0.8943330235359177
2026-02-24T16:28:53Z,690.114,67.0,1455.0,700.0,2026-02-24 16:28:53+00:00,615.6108,0.8920421843347621
2026-02-24T16:28:54Z,693.119,67.0,1440.0,700.0,2026-02-24 16:28:54+00:00,614.6703,0.88681784801744
2026-02-24T16:28:55Z,692.329,67.0,1470.0,700.0,2026-02-24 16:28:55+00:00,612.4445,0.8846148290769272
2026-02-24T16:28:56Z,690.812,67.0,1500.0,700.0,2026-02-24 16:28:56+00:00,613.8222,0.8885517333225247
2026-02-24T16:28:57Z,691.594,68.0,1515.0,700.0,2026-02-24 16:28:57+00:00,614.4547,0.8884615829518474
2026-02-24T16:28:58Z,691.487,68.0,1500.0,700.0,2026-02-24 16:28:58+00:00,612.1086,0.8852062294735838
2026-02-24T16:28:59Z,690.837,68.0,1455.0,700.0,2026-02-24 16:28:59+00:00,611.4006,0.8850142653042614
2026-02-24T16:29:00Z,693.085,68.0,1485.0,700.0,2026-02-24 16:29:00+00:00,615.7255,0.8883838201663576
2026-02-24T16:29:01Z,689.431,69.0,1440.0,700.0,2026-02-24 16:29:01+00:00,611.4766,0.8869293663905451
2026-02-24T16:29:02Z,693.332,69.0,1425.0,700.0,2026-02-24 16:29:02+00:00,613.5671,0.8849542499120191
2026-02-24T16:29:03Z,692.061,69.0,1485.0,700.0,2026-02-24 16:29:03+00:00,613.8174,0.8869411800404877
2026-02-24T16:29:04Z,691.107,70.0,1500.0,700.0,2026-02-24 16:29:04+00:00,613.3104,0.887431902729968
2026-02-24T16:29:05Z,691.881,70.0,1470.0,700.0,2026-02-24 16:29:05+00:00,612.7134,0.8855762768452956
2026-02-24T16:29:06Z,691.824,69.0,1455.0,700.0,2026-02-24 16:29:06+00:00,614.7059,0.8885293080321007
2026-02-24T16:29:07Z,688.965,70.0,1470.0,700.0,2026-02-24 16:29:07+00:00,611.4905,0.8875494401021822
2026-02-24T16:29:08Z,693.125,70.0,1440.0,700.0,2026-02-24 16:29:08+00:00,613.1328,0.8845919567177637
2026-02-24T16:29:09Z,690.567,70.0,1470.0,700.0,2026-02-24 16:29:09+00:00,614.0114,0.8891409522899298
2026-02-24T16:29:10Z,693.9,70.0,1440.0,700.0,2026-02-24 16:29:10+00:00,609.9597,0.8790311284046692
2026-02-24T16:29:11Z,690.424,71.0,1515.0,700.0,2026-02-24 16:29:11+00:00,613.4343,0.8884892471872357
2026-02-24T16:29:12Z,691.541,71.0,1440.0,700.0,2026-02-24 16:29:12+00:00,613.1269,0.8866096153373407
2026-02-24T16:29:13Z,692.353,71.0,1455.0,700.0,2026-02-24 16:29:13+00:00,610.6939,0.8820556854668067
2026-02-24T16:29:14Z,692.612,71.0,1440.0,700.0,2026-02-24 16:29:14+00:00,611.7271,0.8832175879135793
2026-02-24T16:29:15Z,690.822,71.0,1470.0,700.0,2026-02-24 16:29:15+00:00,611.2127,0.884761487040077
2026-02-24T16:29:16Z,691.765,71.0,1455.0,700.0,2026-02-24 16:29:16+00:00,611.5094,0.8839843010270829
2026-02-24T16:29:17Z,692.938,71.0,1425.0,700.0,2026-02-24 16:29:17+00:00,612.5406,0.883976055577844
2026-02-24T16:29:18Z,690.118,71.0,1455.0,700.0,2026-02-24 16:29:18+00:00,608.4014,0.881590394686126
2026-02-24T16:29:19Z,691.891,71.0,1455.0,700.0,2026-02-24 16:29:19+00:00,610.8041,0.8828039387707023
2026-02-24T16:29:20Z,691.602,71.0,1455.0,700.0,2026-02-24 16:29:20+00:00,610.2777,0.8824117049979613
2026-02-24T16:29:21Z,692.025,72.0,1440.0,700.0,2026-02-24 16:29:21+00:00,609.9263,0.8813645460785376
2026-02-24T16:29:22Z,692.007,72.0,1455.0,700.0,2026-02-24 16:29:22+00:00,611.4523,0.8835926515194211
2026-02-24T16:29:23Z,691.366,72.0,1440.0,700.0,2026-02-24 16:29:23+00:00,608.8483,0.8806454179117862
2026-02-24T16:29:24Z,691.609,72.0,1470.0,700.0,2026-02-24 16:29:24+00:00,611.6891,0.884443522279207
2026-02-24T16:29:25Z,691.702,72.0,1440.0,700.0,2026-02-24 16:29:25+00:00,610.9371,0.8832374346177978
2026-02-24T16:29:26Z,690.355,72.0,1485.0,700.0,2026-02-24 16:29:26+00:00,611.6787,0.8860350109726156
2026-02-24T16:29:27Z,694.421,72.0,1440.0,700.0,2026-02-24 16:29:27+00:00,609.4927,0.8776991191222615
2026-02-24T16:29:28Z,690.338,72.0,1425.0,700.0,2026-02-24 16:29:28+00:00,610.2721,0.8840192775133341
2026-02-24T16:29:29Z,691.569,72.0,1455.0,700.0,2026-02-24 16:29:29+00:00,611.6907,0.8844969916233956
2026-02-24T16:29:30Z,691.371,73.0,1440.0,700.0,2026-02-24 16:29:30+00:00,612.8041,0.8863607238371294
2026-02-24T16:29:31Z,692.919,73.0,1425.0,700.0,2026-02-24 16:29:31+00:00,609.8201,0.8800741500810341
2026-02-24T16:29:32Z,693.743,73.0,1440.0,700.0,2026-02-24 16:29:32+00:00,610.2786,0.879689741013603
2026-02-24T16:29:33Z,691.244,73.0,1425.0,700.0,2026-02-24 16:29:33+00:00,609.1176,0.8811904334793503
2026-02-24T16:29:34Z,692.404,73.0,1425.0,700.0,2026-02-24 16:29:34+00:00,608.8257,0.8792925806321165
2026-02-24T16:29:35Z,694.013,73.0,1440.0,700.0,2026-02-24 16:29:35+00:00,611.0763,0.8804969071184544
2026-02-24T16:29:36Z,690.823,73.0,1485.0,700.0,2026-02-24 16:29:36+00:00,610.0639,0.8830972622509673
2026-02-24T16:29:37Z,691.31,73.0,1440.0,700.0,2026-02-24 16:29:37+00:00,610.0639,0.8824751558635056
2026-02-24T16:29:38Z,690.584,73.0,1455.0,700.0,2026-02-24 16:29:38+00:00,,
2026-02-24T16:29:39Z,447.357,59.0,1980.0,700.0,2026-02-24 16:29:39+00:00,,
2026-02-24T16:29:40Z,144.563,57.0,1980.0,700.0,2026-02-24 16:29:40+00:00,,
2026-02-24T16:29:41Z,110.549,54.0,345.0,700.0,2026-02-24 16:29:41+00:00,,
2026-02-24T16:29:42Z,86.997,53.0,345.0,700.0,2026-02-24 16:29:42+00:00,,
2026-02-24T16:29:43Z,86.475,52.0,345.0,700.0,2026-02-24 16:29:43+00:00,,
2026-02-24T16:29:44Z,85.995,51.0,345.0,700.0,2026-02-24 16:29:44+00:00,,
2026-02-24T16:29:45Z,85.761,51.0,345.0,700.0,2026-02-24 16:29:45+00:00,,
2026-02-24T16:29:46Z,85.214,50.0,345.0,700.0,2026-02-24 16:29:46+00:00,,
2026-02-24T16:29:47Z,84.972,50.0,345.0,700.0,2026-02-24 16:29:47+00:00,,
2026-02-24T16:29:48Z,84.638,49.0,345.0,700.0,2026-02-24 16:29:48+00:00,,
2026-02-24T16:29:49Z,84.638,49.0,345.0,700.0,2026-02-24 16:29:49+00:00,,
2026-02-24T16:29:50Z,84.638,49.0,345.0,700.0,2026-02-24 16:29:50+00:00,,
2026-02-24T16:29:51Z,84.638,49.0,345.0,700.0,2026-02-24 16:29:51+00:00,,
2026-02-24T16:29:52Z,84.638,49.0,345.0,700.0,2026-02-24 16:29:52+00:00,,
