ts_utc,iters_per_sec
2026-02-24T16:57:45+00:00,1132.3259
2026-02-24T16:57:46+00:00,615.9257
2026-02-24T16:57:47+00:00,613.3693
2026-02-24T16:57:48+00:00,612.7125
2026-02-24T16:57:49+00:00,611.7128
2026-02-24T16:57:50+00:00,610.1509
2026-02-24T16:57:51+00:00,611.1969
2026-02-24T16:57:52+00:00,610.5050
2026-02-24T16:57:53+00:00,610.2272
2026-02-24T16:57:54+00:00,610.8453
2026-02-24T16:57:55+00:00,608.5327
2026-02-24T16:57:56+00:00,608.4947
2026-02-24T16:57:57+00:00,609.5501
2026-02-24T16:57:58+00:00,609.8832
2026-02-24T16:57:59+00:00,610.4160
2026-02-24T16:58:00+00:00,610.0404
2026-02-24T16:58:01+00:00,608.4231
2026-02-24T16:58:02+00:00,608.4902
2026-02-24T16:58:03+00:00,609.1556
2026-02-24T16:58:04+00:00,612.3993
2026-02-24T16:58:05+00:00,617.0373
2026-02-24T16:58:06+00:00,617.8634
2026-02-24T16:58:07+00:00,618.3524
2026-02-24T16:58:08+00:00,616.0735
2026-02-24T16:58:09+00:00,617.4185
2026-02-24T16:58:10+00:00,614.6900
2026-02-24T16:58:11+00:00,614.9125
2026-02-24T16:58:12+00:00,616.7602
2026-02-24T16:58:13+00:00,618.4898
2026-02-24T16:58:14+00:00,618.2269
2026-02-24T16:58:15+00:00,617.7219
2026-02-24T16:58:16+00:00,617.0624
2026-02-24T16:58:17+00:00,616.5205
2026-02-24T16:58:18+00:00,617.9366
2026-02-24T16:58:19+00:00,618.5561
2026-02-24T16:58:20+00:00,616.6802
2026-02-24T16:58:21+00:00,617.5960
2026-02-24T16:58:22+00:00,615.8913
2026-02-24T16:58:23+00:00,616.6129
2026-02-24T16:58:24+00:00,619.6951
2026-02-24T16:58:25+00:00,617.7780
2026-02-24T16:58:26+00:00,615.4486
2026-02-24T16:58:27+00:00,616.3332
2026-02-24T16:58:28+00:00,615.7228
2026-02-24T16:58:29+00:00,617.0692
2026-02-24T16:58:30+00:00,619.0965
2026-02-24T16:58:31+00:00,616.7727
2026-02-24T16:58:32+00:00,616.3687
2026-02-24T16:58:33+00:00,617.2984
2026-02-24T16:58:34+00:00,615.3517
2026-02-24T16:58:35+00:00,617.2080
2026-02-24T16:58:36+00:00,618.1059
2026-02-24T16:58:37+00:00,618.5281
2026-02-24T16:58:38+00:00,617.7666
2026-02-24T16:58:39+00:00,616.3098
2026-02-24T16:58:40+00:00,617.6342
2026-02-24T16:58:41+00:00,618.1841
2026-02-24T16:58:42+00:00,614.5717
2026-02-24T16:58:43+00:00,616.5782
2026-02-24T16:58:44+00:00,616.3627
2026-02-24T16:58:45+00:00,615.1946
2026-02-24T16:58:46+00:00,614.1506
2026-02-24T16:58:47+00:00,616.8268
2026-02-24T16:58:48+00:00,615.5852
2026-02-24T16:58:49+00:00,614.1325
2026-02-24T16:58:50+00:00,616.6328
2026-02-24T16:58:51+00:00,613.9576
2026-02-24T16:58:52+00:00,612.5171
2026-02-24T16:58:53+00:00,614.9680
2026-02-24T16:58:54+00:00,612.7147
2026-02-24T16:58:55+00:00,615.8794
2026-02-24T16:58:56+00:00,614.6399
2026-02-24T16:58:57+00:00,615.1127
2026-02-24T16:58:58+00:00,616.2668
2026-02-24T16:58:59+00:00,615.3369
2026-02-24T16:59:00+00:00,615.0234
2026-02-24T16:59:01+00:00,615.3807
2026-02-24T16:59:02+00:00,614.7703
2026-02-24T16:59:03+00:00,611.6993
2026-02-24T16:59:04+00:00,613.0031
2026-02-24T16:59:05+00:00,614.3361
2026-02-24T16:59:06+00:00,613.5815
2026-02-24T16:59:07+00:00,614.4186
2026-02-24T16:59:08+00:00,613.1445
2026-02-24T16:59:09+00:00,612.6150
2026-02-24T16:59:10+00:00,612.2948
2026-02-24T16:59:11+00:00,612.4680
2026-02-24T16:59:12+00:00,611.4197
2026-02-24T16:59:13+00:00,611.3590
2026-02-24T16:59:14+00:00,611.7964
2026-02-24T16:59:15+00:00,612.9316
2026-02-24T16:59:16+00:00,611.5433
2026-02-24T16:59:17+00:00,609.9731
2026-02-24T16:59:18+00:00,610.3835
2026-02-24T16:59:19+00:00,613.1318
2026-02-24T16:59:20+00:00,611.2131
2026-02-24T16:59:21+00:00,612.6648
2026-02-24T16:59:22+00:00,614.9919
2026-02-24T16:59:23+00:00,610.5906
2026-02-24T16:59:24+00:00,614.4193
2026-02-24T16:59:25+00:00,611.2177
2026-02-24T16:59:26+00:00,610.8953
2026-02-24T16:59:27+00:00,611.4048
2026-02-24T16:59:28+00:00,612.1195
2026-02-24T16:59:29+00:00,611.5879
2026-02-24T16:59:30+00:00,611.0011
2026-02-24T16:59:31+00:00,611.0031
2026-02-24T16:59:32+00:00,610.1239
2026-02-24T16:59:33+00:00,612.0008
2026-02-24T16:59:34+00:00,611.5295
2026-02-24T16:59:35+00:00,609.5217
2026-02-24T16:59:36+00:00,612.7433
2026-02-24T16:59:37+00:00,612.6214
2026-02-24T16:59:38+00:00,609.5624
2026-02-24T16:59:39+00:00,609.6587
2026-02-24T16:59:40+00:00,610.8286
2026-02-24T16:59:41+00:00,614.4195
2026-02-24T16:59:42+00:00,610.2649
2026-02-24T16:59:43+00:00,609.3837
2026-02-24T16:59:44+00:00,609.7443
2026-02-24T16:59:45+00:00,611.1537
2026-02-24T16:59:46+00:00,613.2042
2026-02-24T16:59:47+00:00,610.2924
2026-02-24T16:59:48+00:00,609.9444
2026-02-24T16:59:49+00:00,612.2335
2026-02-24T16:59:50+00:00,611.0735
2026-02-24T16:59:51+00:00,608.8117
2026-02-24T16:59:52+00:00,610.0016
2026-02-24T16:59:53+00:00,610.2370
2026-02-24T16:59:54+00:00,611.3060
2026-02-24T16:59:55+00:00,611.4272
2026-02-24T16:59:56+00:00,612.4944
2026-02-24T16:59:57+00:00,613.7850
2026-02-24T16:59:58+00:00,608.6581
2026-02-24T16:59:59+00:00,612.2179
2026-02-24T17:00:00+00:00,610.7792
2026-02-24T17:00:01+00:00,610.1834
2026-02-24T17:00:02+00:00,610.3146
2026-02-24T17:00:03+00:00,610.9160
2026-02-24T17:00:04+00:00,612.2348
2026-02-24T17:00:05+00:00,610.3378
2026-02-24T17:00:06+00:00,611.3560
2026-02-24T17:00:07+00:00,610.9340
2026-02-24T17:00:08+00:00,609.8609
2026-02-24T17:00:09+00:00,611.4498
2026-02-24T17:00:10+00:00,613.1085
2026-02-24T17:00:11+00:00,609.3436
2026-02-24T17:00:12+00:00,610.9374
2026-02-24T17:00:13+00:00,610.1166
2026-02-24T17:00:14+00:00,609.3613
2026-02-24T17:00:15+00:00,609.1442
2026-02-24T17:00:16+00:00,608.8593
2026-02-24T17:00:17+00:00,612.3564
2026-02-24T17:00:18+00:00,609.9408
2026-02-24T17:00:19+00:00,609.0553
2026-02-24T17:00:20+00:00,608.4070
2026-02-24T17:00:21+00:00,610.7271
2026-02-24T17:00:22+00:00,611.4047
2026-02-24T17:00:23+00:00,611.9504
2026-02-24T17:00:24+00:00,610.2661
2026-02-24T17:00:25+00:00,607.7631
2026-02-24T17:00:26+00:00,608.6896
2026-02-24T17:00:27+00:00,609.2142
2026-02-24T17:00:28+00:00,608.8709
2026-02-24T17:00:29+00:00,608.1967
2026-02-24T17:00:30+00:00,609.4210
2026-02-24T17:00:31+00:00,608.4219
2026-02-24T17:00:32+00:00,607.5680
2026-02-24T17:00:33+00:00,609.0877
2026-02-24T17:00:34+00:00,608.9776
2026-02-24T17:00:35+00:00,608.4737
2026-02-24T17:00:36+00:00,610.3555
2026-02-24T17:00:37+00:00,610.7415
2026-02-24T17:00:38+00:00,612.0800
2026-02-24T17:00:39+00:00,611.9804
2026-02-24T17:00:40+00:00,608.0781
2026-02-24T17:00:41+00:00,609.3676
2026-02-24T17:00:42+00:00,608.8390
2026-02-24T17:00:43+00:00,608.1435
2026-02-24T17:00:44+00:00,609.5976
2026-02-24T17:00:45+00:00,607.9506
2026-02-24T17:00:46+00:00,612.1778
2026-02-24T17:00:47+00:00,608.9152
2026-02-24T17:00:48+00:00,609.2910
2026-02-24T17:00:49+00:00,610.9680
2026-02-24T17:00:50+00:00,608.6082
2026-02-24T17:00:51+00:00,610.9047
2026-02-24T17:00:52+00:00,607.7974
2026-02-24T17:00:53+00:00,607.4387
2026-02-24T17:00:54+00:00,609.4285
2026-02-24T17:00:55+00:00,608.6091
2026-02-24T17:00:56+00:00,609.0145
2026-02-24T17:00:57+00:00,609.1601
2026-02-24T17:00:58+00:00,608.3030
2026-02-24T17:00:59+00:00,608.3848
2026-02-24T17:01:00+00:00,608.7507
2026-02-24T17:01:01+00:00,609.8696
2026-02-24T17:01:02+00:00,608.8878
2026-02-24T17:01:03+00:00,606.9835
2026-02-24T17:01:04+00:00,609.7715
2026-02-24T17:01:05+00:00,609.2126
2026-02-24T17:01:06+00:00,609.8755
2026-02-24T17:01:07+00:00,613.4897
2026-02-24T17:01:08+00:00,611.1208
2026-02-24T17:01:09+00:00,609.0937
2026-02-24T17:01:10+00:00,607.7928
2026-02-24T17:01:11+00:00,609.4219
2026-02-24T17:01:12+00:00,607.3843
2026-02-24T17:01:13+00:00,608.3369
2026-02-24T17:01:14+00:00,608.4645
2026-02-24T17:01:15+00:00,608.5183
2026-02-24T17:01:16+00:00,611.6805
2026-02-24T17:01:17+00:00,609.6497
2026-02-24T17:01:18+00:00,609.8590
2026-02-24T17:01:19+00:00,606.6738
2026-02-24T17:01:20+00:00,609.7396
2026-02-24T17:01:21+00:00,609.1169
2026-02-24T17:01:22+00:00,610.4093
2026-02-24T17:01:23+00:00,608.7885
2026-02-24T17:01:24+00:00,609.0325
2026-02-24T17:01:25+00:00,612.4219
2026-02-24T17:01:26+00:00,608.8782
2026-02-24T17:01:27+00:00,609.6368
2026-02-24T17:01:28+00:00,608.8145
2026-02-24T17:01:29+00:00,607.3801
2026-02-24T17:01:30+00:00,610.4006
2026-02-24T17:01:31+00:00,609.3175
2026-02-24T17:01:32+00:00,608.1369
2026-02-24T17:01:33+00:00,609.3134
2026-02-24T17:01:34+00:00,607.5388
2026-02-24T17:01:35+00:00,607.6345
2026-02-24T17:01:36+00:00,610.5297
2026-02-24T17:01:37+00:00,608.9720
2026-02-24T17:01:38+00:00,607.9934
2026-02-24T17:01:39+00:00,607.7198
2026-02-24T17:01:40+00:00,607.4510
2026-02-24T17:01:41+00:00,607.3255
2026-02-24T17:01:42+00:00,608.7038
2026-02-24T17:01:43+00:00,608.5241
2026-02-24T17:01:44+00:00,608.1692
2026-02-24T17:01:45+00:00,609.2351
2026-02-24T17:01:46+00:00,607.6865
2026-02-24T17:01:47+00:00,608.0422
2026-02-24T17:01:48+00:00,608.2165
2026-02-24T17:01:49+00:00,605.7839
2026-02-24T17:01:50+00:00,606.9970
2026-02-24T17:01:51+00:00,609.2335
2026-02-24T17:01:52+00:00,609.4882
2026-02-24T17:01:53+00:00,605.5496
2026-02-24T17:01:54+00:00,610.6778
2026-02-24T17:01:55+00:00,609.9392
2026-02-24T17:01:56+00:00,606.9569
2026-02-24T17:01:57+00:00,606.7813
