ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w,ts,iters_per_sec,perf_per_watt
2026-02-24T16:54:37Z,80.737,39.0,345.0,700.0,2026-02-24 16:54:37+00:00,,
2026-02-24T16:54:38Z,80.758,39.0,345.0,700.0,2026-02-24 16:54:38+00:00,,
2026-02-24T16:54:39Z,80.741,39.0,345.0,700.0,2026-02-24 16:54:39+00:00,,
2026-02-24T16:54:40Z,80.751,39.0,345.0,700.0,2026-02-24 16:54:40+00:00,,
2026-02-24T16:54:41Z,80.783,39.0,345.0,700.0,2026-02-24 16:54:41+00:00,,
2026-02-24T16:54:42Z,80.738,39.0,345.0,700.0,2026-02-24 16:54:42+00:00,,
2026-02-24T16:54:43Z,80.743,39.0,345.0,700.0,2026-02-24 16:54:43+00:00,,
2026-02-24T16:54:44Z,80.724,39.0,345.0,700.0,2026-02-24 16:54:44+00:00,,
2026-02-24T16:54:45Z,80.739,39.0,345.0,700.0,2026-02-24 16:54:45+00:00,,
2026-02-24T16:54:46Z,80.721,39.0,345.0,700.0,2026-02-24 16:54:46+00:00,,
2026-02-24T16:54:47Z,80.741,39.0,345.0,700.0,2026-02-24 16:54:47+00:00,,
2026-02-24T16:54:48Z,80.722,39.0,345.0,700.0,2026-02-24 16:54:48+00:00,,
2026-02-24T16:54:49Z,80.725,39.0,345.0,700.0,2026-02-24 16:54:49+00:00,,
2026-02-24T16:54:50Z,80.741,39.0,345.0,700.0,2026-02-24 16:54:50+00:00,,
2026-02-24T16:54:51Z,80.737,39.0,345.0,700.0,2026-02-24 16:54:51+00:00,,
2026-02-24T16:54:52Z,80.764,39.0,345.0,700.0,2026-02-24 16:54:52+00:00,,
2026-02-24T16:54:53Z,80.711,39.0,345.0,700.0,2026-02-24 16:54:53+00:00,,
2026-02-24T16:54:54Z,80.773,39.0,345.0,700.0,2026-02-24 16:54:54+00:00,,
2026-02-24T16:54:55Z,80.737,39.0,345.0,700.0,2026-02-24 16:54:55+00:00,,
2026-02-24T16:54:56Z,80.766,39.0,345.0,700.0,2026-02-24 16:54:56+00:00,,
2026-02-24T16:54:57Z,80.724,39.0,345.0,700.0,2026-02-24 16:54:57+00:00,,
2026-02-24T16:54:58Z,80.74,39.0,345.0,700.0,2026-02-24 16:54:58+00:00,,
2026-02-24T16:54:59Z,80.757,39.0,345.0,700.0,2026-02-24 16:54:59+00:00,,
2026-02-24T16:55:00Z,80.681,39.0,345.0,700.0,2026-02-24 16:55:00+00:00,,
2026-02-24T16:55:01Z,80.774,39.0,345.0,700.0,2026-02-24 16:55:01+00:00,,
2026-02-24T16:55:02Z,80.782,39.0,345.0,700.0,2026-02-24 16:55:02+00:00,,
2026-02-24T16:55:03Z,80.723,39.0,345.0,700.0,2026-02-24 16:55:03+00:00,,
2026-02-24T16:55:04Z,80.747,39.0,345.0,700.0,2026-02-24 16:55:04+00:00,,
2026-02-24T16:55:05Z,80.833,39.0,345.0,700.0,2026-02-24 16:55:05+00:00,,
2026-02-24T16:55:06Z,80.818,39.0,345.0,700.0,2026-02-24 16:55:06+00:00,,
2026-02-24T16:55:07Z,80.73,39.0,345.0,700.0,2026-02-24 16:55:07+00:00,,
2026-02-24T16:55:08Z,80.741,39.0,345.0,700.0,2026-02-24 16:55:08+00:00,,
2026-02-24T16:55:09Z,80.734,39.0,345.0,700.0,2026-02-24 16:55:09+00:00,,
2026-02-24T16:55:10Z,80.786,39.0,345.0,700.0,2026-02-24 16:55:10+00:00,,
2026-02-24T16:55:11Z,80.752,39.0,345.0,700.0,2026-02-24 16:55:11+00:00,,
2026-02-24T16:55:12Z,80.726,39.0,345.0,700.0,2026-02-24 16:55:12+00:00,,
2026-02-24T16:55:13Z,80.697,39.0,345.0,700.0,2026-02-24 16:55:13+00:00,,
2026-02-24T16:55:14Z,80.747,39.0,345.0,700.0,2026-02-24 16:55:14+00:00,,
2026-02-24T16:55:15Z,80.717,39.0,345.0,700.0,2026-02-24 16:55:15+00:00,,
2026-02-24T16:55:16Z,80.63,39.0,345.0,700.0,2026-02-24 16:55:16+00:00,,
2026-02-24T16:55:17Z,80.724,39.0,345.0,700.0,2026-02-24 16:55:17+00:00,,
2026-02-24T16:55:18Z,80.731,39.0,345.0,700.0,2026-02-24 16:55:18+00:00,,
2026-02-24T16:55:19Z,80.788,39.0,345.0,700.0,2026-02-24 16:55:19+00:00,,
2026-02-24T16:55:20Z,80.725,39.0,345.0,700.0,2026-02-24 16:55:20+00:00,,
