ts_utc,power_w,temp_c,sm_clock_mhz,power_limit_w,ts,iters_per_sec,perf_per_watt
2026-02-24T14:49:54Z,81.071,39.0,345.0,,2026-02-24 14:49:54+00:00,,
2026-02-24T14:49:55Z,81.071,39.0,345.0,,2026-02-24 14:49:55+00:00,,
2026-02-24T14:49:56Z,81.071,39.0,345.0,,2026-02-24 14:49:56+00:00,,
2026-02-24T14:49:57Z,81.071,39.0,345.0,,2026-02-24 14:49:57+00:00,,
2026-02-24T14:49:58Z,81.071,39.0,345.0,,2026-02-24 14:49:58+00:00,,
2026-02-24T14:49:59Z,81.071,39.0,345.0,,2026-02-24 14:49:59+00:00,,
2026-02-24T14:50:00Z,81.071,39.0,345.0,,2026-02-24 14:50:00+00:00,,
2026-02-24T14:50:01Z,81.071,39.0,345.0,,2026-02-24 14:50:01+00:00,,
2026-02-24T14:50:02Z,81.071,39.0,345.0,,2026-02-24 14:50:02+00:00,,
2026-02-24T14:50:03Z,81.071,39.0,345.0,,2026-02-24 14:50:03+00:00,,
2026-02-24T14:50:04Z,81.071,39.0,345.0,,2026-02-24 14:50:04+00:00,,
2026-02-24T14:50:05Z,81.071,39.0,345.0,,2026-02-24 14:50:05+00:00,,
2026-02-24T14:50:06Z,81.071,39.0,345.0,,2026-02-24 14:50:06+00:00,,
2026-02-24T14:50:07Z,81.071,39.0,345.0,,2026-02-24 14:50:07+00:00,,
2026-02-24T14:50:08Z,81.071,39.0,345.0,,2026-02-24 14:50:08+00:00,,
2026-02-24T14:50:09Z,81.071,39.0,345.0,,2026-02-24 14:50:09+00:00,,
2026-02-24T14:50:10Z,81.071,39.0,345.0,,2026-02-24 14:50:10+00:00,,
2026-02-24T14:50:11Z,81.071,39.0,345.0,,2026-02-24 14:50:11+00:00,,
2026-02-24T14:50:12Z,81.071,39.0,345.0,,2026-02-24 14:50:12+00:00,,
2026-02-24T14:50:13Z,81.071,39.0,345.0,,2026-02-24 14:50:13+00:00,,
2026-02-24T14:50:14Z,81.071,39.0,345.0,,2026-02-24 14:50:14+00:00,,
2026-02-24T14:50:15Z,81.081,39.0,345.0,,2026-02-24 14:50:15+00:00,,
2026-02-24T14:50:16Z,81.081,39.0,345.0,,2026-02-24 14:50:16+00:00,,
