ts_utc,iters_per_sec
2026-02-24T15:26:31+00:00,1131.6612
2026-02-24T15:26:32+00:00,615.5462
2026-02-24T15:26:33+00:00,612.3656
2026-02-24T15:26:34+00:00,611.8368
2026-02-24T15:26:35+00:00,611.6104
2026-02-24T15:26:36+00:00,609.7787
2026-02-24T15:26:37+00:00,610.1213
2026-02-24T15:26:38+00:00,609.8556
2026-02-24T15:26:39+00:00,608.9027
2026-02-24T15:26:40+00:00,609.4494
2026-02-24T15:26:41+00:00,610.6165
2026-02-24T15:26:42+00:00,616.3133
2026-02-24T15:26:43+00:00,614.8719
2026-02-24T15:26:44+00:00,616.6795
2026-02-24T15:26:45+00:00,614.0806
2026-02-24T15:26:46+00:00,616.0748
2026-02-24T15:26:47+00:00,615.7726
2026-02-24T15:26:48+00:00,616.0865
2026-02-24T15:26:49+00:00,616.7893
2026-02-24T15:26:50+00:00,614.1886
2026-02-24T15:26:51+00:00,613.6734
2026-02-24T15:26:52+00:00,612.5934
2026-02-24T15:26:53+00:00,611.8489
2026-02-24T15:26:54+00:00,614.3457
2026-02-24T15:26:55+00:00,613.0262
2026-02-24T15:26:56+00:00,614.3045
2026-02-24T15:26:57+00:00,613.0148
2026-02-24T15:26:58+00:00,612.0228
2026-02-24T15:26:59+00:00,611.6226
2026-02-24T15:27:00+00:00,612.3268
2026-02-24T15:27:01+00:00,611.6933
2026-02-24T15:27:02+00:00,611.7261
2026-02-24T15:27:03+00:00,611.6337
2026-02-24T15:27:04+00:00,609.8215
2026-02-24T15:27:05+00:00,611.7698
2026-02-24T15:27:06+00:00,612.9413
2026-02-24T15:27:07+00:00,612.4154
2026-02-24T15:27:08+00:00,611.4235
2026-02-24T15:27:09+00:00,611.7503
2026-02-24T15:27:10+00:00,612.6297
2026-02-24T15:27:11+00:00,611.9828
2026-02-24T15:27:12+00:00,610.3283
2026-02-24T15:27:13+00:00,608.6516
2026-02-24T15:27:14+00:00,610.8615
2026-02-24T15:27:15+00:00,610.8814
2026-02-24T15:27:16+00:00,610.5396
2026-02-24T15:27:17+00:00,611.6389
2026-02-24T15:27:18+00:00,614.3802
2026-02-24T15:27:19+00:00,609.1066
2026-02-24T15:27:20+00:00,609.1685
2026-02-24T15:27:21+00:00,610.6304
2026-02-24T15:27:22+00:00,609.4333
2026-02-24T15:27:23+00:00,610.2331
2026-02-24T15:27:24+00:00,609.5257
2026-02-24T15:27:25+00:00,609.7231
2026-02-24T15:27:26+00:00,611.4475
2026-02-24T15:27:27+00:00,609.0374
2026-02-24T15:27:28+00:00,608.9008
2026-02-24T15:27:29+00:00,609.5305
2026-02-24T15:27:30+00:00,609.3760
2026-02-24T15:27:31+00:00,611.6126
2026-02-24T15:27:32+00:00,610.7031
2026-02-24T15:27:33+00:00,611.6901
2026-02-24T15:27:34+00:00,609.9093
2026-02-24T15:27:35+00:00,612.3687
2026-02-24T15:27:36+00:00,610.2808
2026-02-24T15:27:37+00:00,609.4949
2026-02-24T15:27:38+00:00,607.9601
2026-02-24T15:27:39+00:00,610.2787
2026-02-24T15:27:40+00:00,611.3064
2026-02-24T15:27:41+00:00,610.1038
2026-02-24T15:27:42+00:00,607.5958
2026-02-24T15:27:43+00:00,609.5305
2026-02-24T15:27:44+00:00,608.7404
2026-02-24T15:27:45+00:00,610.4134
2026-02-24T15:27:46+00:00,608.0752
2026-02-24T15:27:47+00:00,611.2624
2026-02-24T15:27:48+00:00,608.2439
2026-02-24T15:27:49+00:00,609.9443
2026-02-24T15:27:50+00:00,610.4927
2026-02-24T15:27:51+00:00,612.4610
2026-02-24T15:27:52+00:00,610.2320
2026-02-24T15:27:53+00:00,609.3918
2026-02-24T15:27:54+00:00,607.8797
2026-02-24T15:27:55+00:00,607.7493
2026-02-24T15:27:56+00:00,608.5534
2026-02-24T15:27:57+00:00,611.1413
2026-02-24T15:27:58+00:00,607.6665
2026-02-24T15:27:59+00:00,610.4211
2026-02-24T15:28:00+00:00,610.7471
2026-02-24T15:28:01+00:00,610.1112
2026-02-24T15:28:02+00:00,609.0084
2026-02-24T15:28:03+00:00,607.9687
2026-02-24T15:28:04+00:00,608.6735
2026-02-24T15:28:05+00:00,610.6107
2026-02-24T15:28:06+00:00,609.0993
2026-02-24T15:28:07+00:00,609.4110
2026-02-24T15:28:08+00:00,606.9362
2026-02-24T15:28:09+00:00,607.3145
2026-02-24T15:28:10+00:00,608.4189
2026-02-24T15:28:11+00:00,609.1465
2026-02-24T15:28:12+00:00,609.2614
2026-02-24T15:28:13+00:00,609.4586
2026-02-24T15:28:14+00:00,608.2437
2026-02-24T15:28:15+00:00,609.5479
2026-02-24T15:28:16+00:00,610.5719
2026-02-24T15:28:17+00:00,608.5072
2026-02-24T15:28:18+00:00,609.0097
2026-02-24T15:28:19+00:00,607.2753
2026-02-24T15:28:20+00:00,609.8492
2026-02-24T15:28:21+00:00,608.8619
2026-02-24T15:28:22+00:00,610.1577
2026-02-24T15:28:23+00:00,607.4793
2026-02-24T15:28:24+00:00,611.2039
2026-02-24T15:28:25+00:00,607.3380
2026-02-24T15:28:26+00:00,608.5620
2026-02-24T15:28:27+00:00,608.9559
2026-02-24T15:28:28+00:00,609.0221
2026-02-24T15:28:29+00:00,607.7477
2026-02-24T15:28:30+00:00,608.2070
2026-02-24T15:28:31+00:00,610.2184
2026-02-24T15:28:32+00:00,608.2818
2026-02-24T15:28:33+00:00,609.2834
2026-02-24T15:28:34+00:00,609.9317
2026-02-24T15:28:35+00:00,607.5372
2026-02-24T15:28:36+00:00,607.5151
2026-02-24T15:28:37+00:00,605.4636
2026-02-24T15:28:38+00:00,609.7680
2026-02-24T15:28:39+00:00,607.1185
2026-02-24T15:28:40+00:00,607.8823
2026-02-24T15:28:41+00:00,606.9920
2026-02-24T15:28:42+00:00,606.3593
2026-02-24T15:28:43+00:00,604.8712
2026-02-24T15:28:44+00:00,608.8085
2026-02-24T15:28:45+00:00,606.7045
2026-02-24T15:28:46+00:00,607.9062
2026-02-24T15:28:47+00:00,605.8441
2026-02-24T15:28:48+00:00,607.7518
2026-02-24T15:28:49+00:00,607.6671
2026-02-24T15:28:50+00:00,605.4631
2026-02-24T15:28:51+00:00,608.1049
2026-02-24T15:28:53+00:00,609.6459
2026-02-24T15:28:54+00:00,605.2052
2026-02-24T15:28:55+00:00,607.3280
2026-02-24T15:28:56+00:00,606.8656
2026-02-24T15:28:56+00:00,605.9181
2026-02-24T15:28:57+00:00,609.0174
2026-02-24T15:28:59+00:00,609.5996
2026-02-24T15:29:00+00:00,605.2658
2026-02-24T15:29:01+00:00,608.6429
2026-02-24T15:29:02+00:00,608.2788
2026-02-24T15:29:03+00:00,609.4098
2026-02-24T15:29:04+00:00,607.4517
2026-02-24T15:29:05+00:00,609.1842
2026-02-24T15:29:06+00:00,606.5322
2026-02-24T15:29:07+00:00,605.6409
2026-02-24T15:29:08+00:00,607.3144
2026-02-24T15:29:09+00:00,608.4060
2026-02-24T15:29:10+00:00,606.3895
2026-02-24T15:29:11+00:00,607.0352
2026-02-24T15:29:12+00:00,609.3293
2026-02-24T15:29:13+00:00,607.1305
2026-02-24T15:29:14+00:00,606.2563
2026-02-24T15:29:15+00:00,609.1769
2026-02-24T15:29:16+00:00,606.9967
2026-02-24T15:29:17+00:00,607.5913
2026-02-24T15:29:18+00:00,607.4566
2026-02-24T15:29:19+00:00,605.9265
2026-02-24T15:29:20+00:00,608.1560
2026-02-24T15:29:21+00:00,606.3971
2026-02-24T15:29:22+00:00,606.0758
2026-02-24T15:29:23+00:00,607.4585
2026-02-24T15:29:24+00:00,605.4745
2026-02-24T15:29:25+00:00,605.7810
2026-02-24T15:29:26+00:00,608.3053
2026-02-24T15:29:27+00:00,607.9223
2026-02-24T15:29:28+00:00,606.0238
2026-02-24T15:29:29+00:00,608.0897
2026-02-24T15:29:30+00:00,606.5014
2026-02-24T15:29:31+00:00,607.1487
2026-02-24T15:29:32+00:00,606.1735
2026-02-24T15:29:33+00:00,608.6317
2026-02-24T15:29:34+00:00,605.9236
2026-02-24T15:29:35+00:00,607.4620
2026-02-24T15:29:36+00:00,609.4798
2026-02-24T15:29:37+00:00,607.3691
2026-02-24T15:29:38+00:00,607.2878
2026-02-24T15:29:39+00:00,608.5644
2026-02-24T15:29:40+00:00,608.1655
2026-02-24T15:29:41+00:00,607.5308
2026-02-24T15:29:42+00:00,607.3532
2026-02-24T15:29:43+00:00,610.6407
2026-02-24T15:29:44+00:00,606.7072
2026-02-24T15:29:45+00:00,607.4560
2026-02-24T15:29:46+00:00,605.6939
2026-02-24T15:29:47+00:00,605.5878
2026-02-24T15:29:48+00:00,607.3448
2026-02-24T15:29:49+00:00,606.5987
2026-02-24T15:29:50+00:00,607.1973
2026-02-24T15:29:51+00:00,607.2602
2026-02-24T15:29:52+00:00,607.6197
2026-02-24T15:29:53+00:00,606.3214
2026-02-24T15:29:54+00:00,606.9816
2026-02-24T15:29:55+00:00,607.4125
2026-02-24T15:29:56+00:00,606.7289
2026-02-24T15:29:57+00:00,606.1390
2026-02-24T15:29:58+00:00,607.3571
2026-02-24T15:29:59+00:00,608.4366
2026-02-24T15:30:00+00:00,605.8176
2026-02-24T15:30:01+00:00,605.7229
2026-02-24T15:30:02+00:00,608.5647
2026-02-24T15:30:03+00:00,608.1508
2026-02-24T15:30:04+00:00,606.6689
2026-02-24T15:30:05+00:00,606.0905
2026-02-24T15:30:06+00:00,608.0904
2026-02-24T15:30:07+00:00,608.1082
2026-02-24T15:30:08+00:00,608.7528
2026-02-24T15:30:09+00:00,607.2237
2026-02-24T15:30:10+00:00,607.2985
2026-02-24T15:30:11+00:00,606.3378
2026-02-24T15:30:12+00:00,605.4546
2026-02-24T15:30:13+00:00,606.2956
2026-02-24T15:30:14+00:00,607.3002
2026-02-24T15:30:15+00:00,606.6046
2026-02-24T15:30:16+00:00,605.9257
2026-02-24T15:30:17+00:00,607.4086
2026-02-24T15:30:18+00:00,606.0362
2026-02-24T15:30:19+00:00,605.6519
2026-02-24T15:30:20+00:00,610.1965
2026-02-24T15:30:21+00:00,606.7748
2026-02-24T15:30:22+00:00,605.8590
2026-02-24T15:30:23+00:00,606.4163
2026-02-24T15:30:24+00:00,607.6936
2026-02-24T15:30:25+00:00,608.3208
2026-02-24T15:30:26+00:00,605.6513
2026-02-24T15:30:27+00:00,606.4714
2026-02-24T15:30:28+00:00,607.4284
2026-02-24T15:30:29+00:00,606.2911
2026-02-24T15:30:30+00:00,606.0642
2026-02-24T15:30:31+00:00,608.3772
2026-02-24T15:30:32+00:00,605.9731
2026-02-24T15:30:33+00:00,607.1582
2026-02-24T15:30:34+00:00,607.7773
2026-02-24T15:30:35+00:00,605.9242
2026-02-24T15:30:36+00:00,607.7957
2026-02-24T15:30:37+00:00,605.6433
2026-02-24T15:30:38+00:00,606.3558
2026-02-24T15:30:39+00:00,607.5028
2026-02-24T15:30:40+00:00,606.2377
2026-02-24T15:30:41+00:00,608.0609
2026-02-24T15:30:42+00:00,607.5982
2026-02-24T15:30:43+00:00,607.6216
2026-02-24T15:30:44+00:00,605.8792
2026-02-24T15:30:45+00:00,607.3406
2026-02-24T15:30:46+00:00,605.7660
2026-02-24T15:30:47+00:00,608.0334
2026-02-24T15:30:48+00:00,606.0589
2026-02-24T15:30:49+00:00,606.0788
2026-02-24T15:30:50+00:00,606.9041
2026-02-24T15:30:51+00:00,605.8634
2026-02-24T15:30:52+00:00,605.1606
2026-02-24T15:30:53+00:00,607.9609
2026-02-24T15:30:54+00:00,605.8795
2026-02-24T15:30:55+00:00,606.1906
2026-02-24T15:30:56+00:00,606.1069
2026-02-24T15:30:57+00:00,606.8667
2026-02-24T15:30:58+00:00,606.9929
2026-02-24T15:30:59+00:00,607.9684
2026-02-24T15:31:00+00:00,606.4199
2026-02-24T15:31:01+00:00,607.8509
2026-02-24T15:31:02+00:00,605.7432
2026-02-24T15:31:03+00:00,607.4316
2026-02-24T15:31:04+00:00,608.2811
2026-02-24T15:31:05+00:00,606.0057
2026-02-24T15:31:06+00:00,607.9101
2026-02-24T15:31:07+00:00,607.2736
2026-02-24T15:31:08+00:00,606.7889
2026-02-24T15:31:09+00:00,605.8332
2026-02-24T15:31:10+00:00,605.4207
2026-02-24T15:31:11+00:00,606.4896
2026-02-24T15:31:12+00:00,607.9711
2026-02-24T15:31:13+00:00,606.7545
2026-02-24T15:31:14+00:00,607.1895
2026-02-24T15:31:15+00:00,607.3756
2026-02-24T15:31:16+00:00,607.6478
2026-02-24T15:31:17+00:00,605.3308
2026-02-24T15:31:18+00:00,606.1104
2026-02-24T15:31:19+00:00,606.1038
2026-02-24T15:31:20+00:00,606.2885
2026-02-24T15:31:21+00:00,606.8594
2026-02-24T15:31:22+00:00,607.0397
2026-02-24T15:31:23+00:00,606.9939
2026-02-24T15:31:24+00:00,607.7795
2026-02-24T15:31:25+00:00,608.4415
2026-02-24T15:31:26+00:00,606.7649
2026-02-24T15:31:27+00:00,606.2764
2026-02-24T15:31:28+00:00,606.3344
2026-02-24T15:31:29+00:00,605.2797
2026-02-24T15:31:30+00:00,604.9456
