ts_utc,iters_per_sec
2026-02-23T20:13:13+00:00,1126.4168
2026-02-23T20:13:14+00:00,613.4524
2026-02-23T20:13:15+00:00,612.4600
2026-02-23T20:13:16+00:00,611.6650
2026-02-23T20:13:17+00:00,609.7314
2026-02-23T20:13:18+00:00,611.8229
2026-02-23T20:13:19+00:00,608.4147
2026-02-23T20:13:20+00:00,610.3126
2026-02-23T20:13:21+00:00,613.9104
2026-02-23T20:13:22+00:00,609.8734
2026-02-23T20:13:23+00:00,610.8854
2026-02-23T20:13:24+00:00,605.4626
2026-02-23T20:13:25+00:00,611.9575
2026-02-23T20:13:26+00:00,609.8479
2026-02-23T20:13:27+00:00,606.7484
2026-02-23T20:13:28+00:00,608.2125
2026-02-23T20:13:29+00:00,607.0637
2026-02-23T20:13:30+00:00,610.5914
2026-02-23T20:13:31+00:00,607.9668
2026-02-23T20:13:32+00:00,607.3089
2026-02-23T20:13:33+00:00,607.4455
2026-02-23T20:13:34+00:00,607.6781
2026-02-23T20:13:35+00:00,606.5964
2026-02-23T20:13:36+00:00,606.8181
2026-02-23T20:13:37+00:00,607.3054
2026-02-23T20:13:38+00:00,606.9900
2026-02-23T20:13:39+00:00,606.2293
2026-02-23T20:13:40+00:00,608.8225
2026-02-23T20:13:41+00:00,606.0771
2026-02-23T20:13:42+00:00,605.4717
2026-02-23T20:13:43+00:00,606.3664
2026-02-23T20:13:44+00:00,605.8885
2026-02-23T20:13:45+00:00,605.1482
2026-02-23T20:13:46+00:00,605.2222
2026-02-23T20:13:47+00:00,607.3012
2026-02-23T20:13:48+00:00,609.2061
2026-02-23T20:13:49+00:00,608.5601
2026-02-23T20:13:50+00:00,607.4119
2026-02-23T20:13:51+00:00,608.8477
2026-02-23T20:13:52+00:00,605.8164
2026-02-23T20:13:53+00:00,605.8954
2026-02-23T20:13:54+00:00,607.7482
2026-02-23T20:13:55+00:00,609.0189
2026-02-23T20:13:56+00:00,605.6112
2026-02-23T20:13:57+00:00,607.5827
2026-02-23T20:13:58+00:00,606.7821
2026-02-23T20:13:59+00:00,607.9629
2026-02-23T20:14:00+00:00,607.4621
2026-02-23T20:14:01+00:00,606.7983
2026-02-23T20:14:02+00:00,606.3870
2026-02-23T20:14:03+00:00,607.8643
2026-02-23T20:14:04+00:00,607.5647
2026-02-23T20:14:05+00:00,606.0738
2026-02-23T20:14:06+00:00,606.9658
2026-02-23T20:14:07+00:00,605.7802
2026-02-23T20:14:08+00:00,605.6631
2026-02-23T20:14:09+00:00,606.6707
2026-02-23T20:14:10+00:00,605.6275
2026-02-23T20:14:11+00:00,606.4344
2026-02-23T20:14:12+00:00,606.5154
2026-02-23T20:14:13+00:00,607.8035
2026-02-23T20:14:14+00:00,605.9034
2026-02-23T20:14:15+00:00,606.9515
2026-02-23T20:14:16+00:00,607.9010
2026-02-23T20:14:17+00:00,608.4018
2026-02-23T20:14:18+00:00,606.6316
2026-02-23T20:14:19+00:00,605.5149
2026-02-23T20:14:20+00:00,606.5653
2026-02-23T20:14:21+00:00,606.1251
2026-02-23T20:14:22+00:00,605.8765
2026-02-23T20:14:23+00:00,607.1279
2026-02-23T20:14:24+00:00,607.1889
2026-02-23T20:14:25+00:00,606.1612
2026-02-23T20:14:26+00:00,605.3485
2026-02-23T20:14:27+00:00,605.5106
2026-02-23T20:14:28+00:00,605.3161
2026-02-23T20:14:29+00:00,605.5291
2026-02-23T20:14:30+00:00,606.9599
2026-02-23T20:14:31+00:00,606.4587
2026-02-23T20:14:32+00:00,605.5897
2026-02-23T20:14:33+00:00,605.4686
2026-02-23T20:14:34+00:00,606.0425
2026-02-23T20:14:35+00:00,605.2998
2026-02-23T20:14:36+00:00,605.6451
2026-02-23T20:14:37+00:00,606.9112
2026-02-23T20:14:38+00:00,606.4470
2026-02-23T20:14:39+00:00,606.2894
2026-02-23T20:14:40+00:00,605.3267
2026-02-23T20:14:41+00:00,605.8740
2026-02-23T20:14:42+00:00,605.1802
2026-02-23T20:14:43+00:00,605.0689
2026-02-23T20:14:44+00:00,605.8111
2026-02-23T20:14:45+00:00,605.3419
2026-02-23T20:14:46+00:00,605.5100
2026-02-23T20:14:47+00:00,607.6096
2026-02-23T20:14:48+00:00,605.3984
2026-02-23T20:14:49+00:00,605.3733
2026-02-23T20:14:50+00:00,605.2003
2026-02-23T20:14:51+00:00,604.8170
2026-02-23T20:14:52+00:00,605.6872
2026-02-23T20:14:53+00:00,605.9783
2026-02-23T20:14:54+00:00,605.3944
2026-02-23T20:14:55+00:00,605.2482
2026-02-23T20:14:56+00:00,605.7841
2026-02-23T20:14:57+00:00,606.0888
2026-02-23T20:14:58+00:00,605.1143
2026-02-23T20:14:59+00:00,605.4055
2026-02-23T20:15:00+00:00,605.1887
2026-02-23T20:15:01+00:00,606.0785
2026-02-23T20:15:02+00:00,605.6641
2026-02-23T20:15:03+00:00,605.4284
2026-02-23T20:15:04+00:00,605.4565
2026-02-23T20:15:05+00:00,604.8657
2026-02-23T20:15:06+00:00,605.2241
2026-02-23T20:15:07+00:00,604.9598
2026-02-23T20:15:08+00:00,605.3818
2026-02-23T20:15:09+00:00,605.4551
2026-02-23T20:15:10+00:00,605.6087
2026-02-23T20:15:11+00:00,605.0206
2026-02-23T20:15:12+00:00,607.2182
2026-02-23T20:15:13+00:00,605.3683
2026-02-23T20:15:14+00:00,605.0888
2026-02-23T20:15:15+00:00,605.6852
2026-02-23T20:15:16+00:00,605.7829
2026-02-23T20:15:17+00:00,604.9525
2026-02-23T20:15:18+00:00,604.9589
2026-02-23T20:15:19+00:00,605.2881
2026-02-23T20:15:20+00:00,605.2096
